Wall time,Step,Value
1747698293.2181695,4096,-5.660707950592041
1747698308.280992,6144,-5.648423194885254
1747698322.9160717,8192,-5.6381330490112305
1747698336.85401,10240,-5.597353935241699
1747698350.391531,12288,-5.5184712409973145
1747698364.1257064,14336,-5.400500297546387
1747698378.0271199,16384,-5.308393478393555
1747698392.6220543,18432,-5.232223987579346
1747698406.9574873,20480,-5.1549201011657715
1747698425.295536,22528,-5.096953392028809
1747698442.1562688,24576,-5.059239387512207
1747698457.7760267,26624,-5.031978130340576
1747698473.7853222,28672,-5.013136863708496
1747698488.997746,30720,-4.99896764755249
1747698505.299539,32768,-4.975943565368652
1747698519.7379496,34816,-4.92462158203125
1747698534.9726627,36864,-4.843217372894287
1747698549.665588,38912,-4.775146484375
1747698564.276761,40960,-4.722123146057129
1747698580.837433,43008,-4.677152156829834
1747698603.433864,45056,-4.623402118682861
1747698618.7376015,47104,-4.5617780685424805
1747698634.1013951,49152,-4.5241923332214355
1747698649.0438771,51200,-4.473238468170166
1747698667.0168648,53248,-4.41609001159668
1747698684.9653738,55296,-4.368312835693359
1747698702.4102204,57344,-4.333764553070068
1747698718.9165027,59392,-4.317364692687988
1747698736.9346166,61440,-4.314301013946533
1747698754.7316854,63488,-4.291439533233643
1747698771.326291,65536,-4.258218288421631
1747698787.6925087,67584,-4.220273971557617
1747698803.2567801,69632,-4.160489082336426
1747698818.5041025,71680,-4.115244388580322
1747698834.4567688,73728,-4.066446304321289
1747698849.4832554,75776,-4.0181779861450195
1747698865.7641244,77824,-3.9774868488311768
1747698883.0021427,79872,-3.9455504417419434
1747698899.8980887,81920,-3.934654474258423
1747698916.8408768,83968,-3.9064321517944336
1747698933.3886251,86016,-3.842618465423584
1747698950.665635,88064,-3.806302785873413
1747698966.2574492,90112,-3.7822418212890625
1747698982.829109,92160,-3.7758162021636963
1747698998.5817702,94208,-3.78070330619812
1747699014.5675085,96256,-3.75182843208313
1747699030.5073326,98304,-3.7148349285125732
1747699047.2754025,100352,-3.701292037963867
1747699062.3897207,102400,-3.65252685546875
1747699077.836844,104448,-3.562469720840454
1747699092.5657063,106496,-3.5147664546966553
1747699107.8729298,108544,-3.5135929584503174
1747699122.4489799,110592,-3.4904415607452393
1747699137.1942482,112640,-3.4604713916778564
1747699151.2882025,114688,-3.4552104473114014
1747699165.708764,116736,-3.453578233718872
1747699181.2880735,118784,-3.4679722785949707
1747699197.2179654,120832,-3.474626302719116
1747699211.9585345,122880,-3.4438745975494385
1747699226.3723407,124928,-3.4168665409088135
1747699240.5194595,126976,-3.415539503097534
1747699253.7193735,129024,-3.368027448654175
1747699268.080201,131072,-3.342135190963745
1747699281.681895,133120,-3.3362622261047363
1747699295.8328083,135168,-3.3329639434814453
1747699309.8579054,137216,-3.2988498210906982
1747699323.3880372,139264,-3.272562026977539
1747699337.8422794,141312,-3.273052215576172
1747699352.990256,143360,-3.2757279872894287
1747699367.5854244,145408,-3.281585693359375
1747699381.156569,147456,-3.2822842597961426
1747699394.4504802,149504,-3.283555030822754
1747699408.323546,151552,-3.2740609645843506
1747699422.3870666,153600,-3.217787981033325
1747699436.092461,155648,-3.1662533283233643
1747699449.38535,157696,-3.1633400917053223
