Wall time,Step,Value
1747698277.8399422,2048,-106.15859985351562
1747698293.2181695,4096,-106.16287231445312
1747698308.280992,6144,-106.8694076538086
1747698322.915076,8192,-106.32594299316406
1747698336.85401,10240,-104.5421371459961
1747698350.391531,12288,-104.52428436279297
1747698364.1257064,14336,-104.03689575195312
1747698378.0271199,16384,-102.01936340332031
1747698392.6220543,18432,-100.44988250732422
1747698406.9574873,20480,-98.84574127197266
1747698425.295536,22528,-96.8304443359375
1747698442.1562688,24576,-95.12503814697266
1747698457.7760267,26624,-93.34517669677734
1747698473.7853222,28672,-92.62662506103516
1747698488.996745,30720,-91.16329956054688
1747698505.2985396,32768,-89.37505340576172
1747698519.7379496,34816,-88.0601577758789
1747698534.9726627,36864,-86.78275299072266
1747698549.665588,38912,-84.78438568115234
1747698564.276761,40960,-83.44417572021484
1747698580.837433,43008,-82.1544418334961
1747698603.4328609,45056,-81.0907211303711
1747698618.7376015,47104,-78.60169982910156
1747698634.1013951,49152,-77.18488311767578
1747698649.0438771,51200,-75.96829223632812
1747698667.0168648,53248,-72.71290588378906
1747698684.9653738,55296,-70.9736099243164
1747698702.4102204,57344,-69.16149139404297
1747698718.9165027,59392,-68.5081558227539
1747698736.9346166,61440,-64.91614532470703
1747698754.7316854,63488,-63.4321403503418
1747698771.326291,65536,-61.129234313964844
1747698787.691496,67584,-58.87803268432617
1747698803.2567801,69632,-56.91594314575195
1747698818.5041025,71680,-52.87556457519531
1747698834.4567688,73728,-50.7600212097168
1747698849.4832554,75776,-48.56114196777344
1747698865.7641244,77824,-44.1678581237793
1747698883.0011423,79872,-42.943092346191406
1747698899.8980887,81920,-40.40048599243164
1747698916.8408768,83968,-38.2352180480957
1747698933.3886251,86016,-33.91621017456055
1747698950.665635,88064,-31.92584800720215
1747698966.2574492,90112,-31.13260269165039
1747698982.829109,92160,-30.32100486755371
1747698998.5817702,94208,-26.3424015045166
1747699014.5675085,96256,-25.188627243041992
1747699030.5073326,98304,-23.246967315673828
1747699047.2754025,100352,-21.366548538208008
1747699062.3897207,102400,-19.539499282836914
1747699077.836844,104448,-18.757713317871094
1747699092.5657063,106496,-19.2240047454834
1747699107.8719437,108544,-17.405115127563477
1747699122.4489799,110592,-16.08261489868164
1747699137.1942482,112640,-14.171677589416504
1747699151.2882025,114688,-13.243829727172852
1747699165.708764,116736,-12.424495697021484
1747699181.2880735,118784,-9.866974830627441
1747699197.2179654,120832,-8.32082462310791
1747699211.9585345,122880,-8.223344802856445
1747699226.3723407,124928,-9.234917640686035
1747699240.5194595,126976,-7.8698506355285645
1747699253.7183723,129024,-6.245813369750977
1747699268.080201,131072,-3.685683488845825
1747699281.681895,133120,-1.7190381288528442
1747699295.8324625,135168,0.5368236899375916
1747699309.8579054,137216,4.2912116050720215
1747699323.3880372,139264,7.259561538696289
1747699337.8422794,141312,8.924081802368164
1747699352.990256,143360,10.413562774658203
1747699367.5844252,145408,12.098325729370117
1747699381.156569,147456,13.791123390197754
1747699394.4504802,149504,15.298235893249512
1747699408.323546,151552,17.3308162689209
1747699422.3870666,153600,18.973039627075195
1747699436.092461,155648,22.441692352294922
1747699449.3843484,157696,23.69022560119629
1747699462.6358163,159744,25.04246711730957
1747699476.7250726,161792,25.177648544311523
1747699490.162931,163840,25.992069244384766
1747699504.011709,165888,27.428037643432617
1747699517.5428638,167936,28.720970153808594
1747699531.254331,169984,29.895328521728516
1747699544.9214463,172032,33.49699401855469
1747699559.035445,174080,34.50967788696289
1747699572.898234,176128,36.49627685546875
1747699591.1096177,178176,37.346046447753906
1747699604.728266,180224,38.26814651489258
1747699618.0669537,182272,39.41874694824219
1747699632.506755,184320,42.09063720703125
1747699646.479181,186368,43.228515625
1747699659.9487114,188416,41.74829864501953
1747699673.260714,190464,40.8232536315918
1747699686.474048,192512,41.64230728149414
1747699700.941735,194560,40.17333984375
1747699714.244498,196608,41.00567626953125
1747699728.1688676,198656,41.81886672973633
1747699741.4555373,200704,42.739280700683594
1747699754.944608,202752,42.08406448364258
1747699768.4309428,204800,45.11765670776367
1747699781.4788072,206848,46.25189208984375
1747699794.715156,208896,44.04292297363281
1747699807.6350253,210944,35.09790802001953
1747699820.756067,212992,34.624488830566406
1747699833.651871,215040,30.148283004760742
1747699846.9564893,217088,29.136247634887695
1747699859.9337387,219136,25.63356590270996
1747699873.1279428,221184,26.65949058532715
1747699886.1005359,223232,27.235544204711914
1747699899.0881715,225280,27.697683334350586
1747699912.0887334,227328,28.794647216796875
1747699925.1741548,229376,25.89642906188965
1747699938.3861022,231424,26.745206832885742
1747699951.7602,233472,29.769939422607422
1747699965.7050185,235520,32.19767761230469
1747699978.8951085,237568,38.66542053222656
1747699992.4608362,239616,39.7309455871582
1747700005.9316607,241664,43.17146301269531
1747700019.0194595,243712,44.134403228759766
1747700032.551954,245760,46.6348762512207
1747700045.7621393,247808,46.112003326416016
1747700059.8130171,249856,45.69581604003906
1747700073.2884123,251904,48.84193801879883
1747700090.236202,253952,49.80563735961914
1747700107.6423538,256000,52.33165740966797
1747700121.6331043,258048,53.48469924926758
1747700136.61107,260096,57.74961853027344
1747700149.898339,262144,59.073394775390625
