Wall time,Step,Value
1747698003.6739612,2048,-143.74049377441406
1747698009.411586,4096,-138.2984161376953
1747698014.7849722,6144,-150.0262908935547
1747698019.6866143,8192,-145.60092163085938
1747698024.4869268,10240,-141.219482421875
1747698029.2391834,12288,-136.841064453125
1747698034.0942612,14336,-140.88299560546875
1747698039.109278,16384,-131.33419799804688
1747698043.8646593,18432,-130.57858276367188
1747698048.8421266,20480,-133.82354736328125
1747698054.3933604,22528,-123.51580047607422
1747698062.1050434,24576,-131.31936645507812
1747698069.4116337,26624,-129.3136749267578
1747698076.6407092,28672,-136.1429443359375
1747698084.4633796,30720,-136.4381561279297
1747698091.2193618,32768,-133.6038360595703
1747698098.0936513,34816,-139.5768585205078
1747698105.640669,36864,-139.8004913330078
1747698112.6919143,38912,-137.92442321777344
1747698120.0532494,40960,-136.33071899414062
1747698127.3642886,43008,-128.96299743652344
1747698135.6226206,45056,-130.8454132080078
1747698143.407022,47104,-129.00750732421875
1747698151.2434287,49152,-127.44142150878906
1747698159.3007643,51200,-123.13969421386719
1747698167.7430043,53248,-116.34400939941406
1747698175.29567,55296,-114.63153076171875
1747698183.2946107,57344,-115.74319458007812
1747698191.5241265,59392,-111.88898468017578
1747698202.3447716,61440,-109.18901824951172
1747698212.651257,63488,-101.13481903076172
1747698222.8615363,65536,-95.00320434570312
1747698233.4394128,67584,-90.39844512939453
1747698243.7255208,69632,-80.8014144897461
1747698254.2889235,71680,-73.95783233642578
1747698266.4871721,73728,-73.00000762939453
1747698281.610222,75776,-73.64511108398438
1747698296.0951283,77824,-72.73685455322266
1747698311.2587287,79872,-68.45921325683594
1747698325.5320952,81920,-64.10466766357422
1747698339.1231086,83968,-65.30007934570312
1747698352.4373841,86016,-60.22523498535156
1747698365.7766113,88064,-57.578704833984375
1747698379.5755572,90112,-54.041221618652344
1747698393.6264327,92160,-52.354366302490234
1747698407.7438312,94208,-52.52727127075195
1747698426.0255044,96256,-53.81947708129883
1747698442.6097622,98304,-50.55023193359375
1747698457.8218782,100352,-46.633426666259766
1747698473.3423383,102400,-42.752254486083984
1747698488.3707519,104448,-44.81624984741211
1747698504.3276222,106496,-42.531864166259766
1747698518.3818817,108544,-40.33885955810547
1747698533.522753,110592,-37.442317962646484
1747698548.1644251,112640,-34.773094177246094
1747698562.522436,114688,-34.59916687011719
1747698577.9664466,116736,-34.79957962036133
1747698601.034286,118784,-33.36310958862305
1747698616.36383,120832,-35.076656341552734
1747698631.303434,122880,-35.22118377685547
1747698646.2593694,124928,-38.445640563964844
1747698663.9266942,126976,-39.79566955566406
1747698681.7503424,129024,-41.65549850463867
1747698698.3677788,131072,-42.718650817871094
1747698715.69562,133120,-41.99620056152344
1747698733.5748012,135168,-41.5201301574707
1747698751.536684,137216,-38.557682037353516
1747698767.9530547,139264,-36.189212799072266
1747698783.7493725,141312,-36.782440185546875
1747698799.2456872,143360,-35.55350875854492
1747698814.1771429,145408,-34.28231430053711
1747698830.5689023,147456,-37.06871032714844
1747698845.2856588,149504,-35.5572509765625
1747698861.1198306,151552,-35.80443572998047
1747698877.8211224,153600,-35.97735595703125
1747698895.0320516,155648,-36.24265670776367
1747698911.7074373,157696,-35.83987808227539
1747698928.5332782,159744,-39.70314025878906
