rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/iterations,train/policy_gradient_loss,train/learning_rate,train/loss,train/std,train/clip_range,train/entropy_loss,train/explained_variance,train/n_updates,train/approx_kl,train/clip_fraction,train/value_loss
58.166666666666664,329,2048,-112.11465650000002,6,1,,,,,,,,,,,
58.166666666666664,224,4096,-112.11465650000002,18,2,-0.010160502674989403,0.0003,34.401119232177734,0.9933245778083801,0.2,-5.6598224833607675,0.0026377439498901367,10,0.007237964,0.06357421875,231.82696146816016
58.166666666666664,203,6144,-112.11465650000002,30,3,-0.014376271050423384,0.0003,0.2868225574493408,0.9904682636260986,0.2,-5.637705476582051,0.24456220865249634,20,0.010740552,0.1517578125,1.0099729620851576
58.166666666666664,193,8192,-112.11465650000002,42,4,-0.013566126137448009,0.0003,0.08257652819156647,0.9773107767105103,0.2,-5.605996300280094,-0.7643109560012817,30,0.0108932955,0.124560546875,0.19984564308542757
58.166666666666664,186,10240,-112.11465650000002,54,5,-0.013775029519456439,0.0003,0.08107517659664154,0.9656925797462463,0.2,-5.555014757812023,0.04494321346282959,40,0.009776218,0.137353515625,0.15351258553564548
58.166666666666664,179,12288,-112.11465650000002,68,6,-0.013128503554617055,0.0003,0.017696060240268707,0.9502489566802979,0.2,-5.497432617843151,0.3047259449958801,50,0.00904133,0.11044921875,0.09433878420386463
58.166666666666664,177,14336,-112.11465650000002,80,7,-0.01521576476516202,0.0003,-0.002566317096352577,0.9353246688842773,0.2,-5.43554877191782,0.30104392766952515,60,0.012192665,0.144921875,0.08584839850664139
58.166666666666664,180,16384,-112.11465650000002,90,8,-0.01563333416124806,0.0003,-0.009234398603439331,0.9230345487594604,0.2,-5.3772952005267145,0.4593018889427185,70,0.011654078,0.144775390625,0.08621145596262067
58.166666666666664,183,18432,-112.11465650000002,100,9,-0.012535770950489678,0.0003,0.013541780412197113,0.907135009765625,0.2,-5.314918059110641,0.15654796361923218,80,0.010844412,0.101708984375,0.11199579400708899
58.166666666666664,185,20480,-112.11465650000002,110,10,-0.009831069712527096,0.0003,0.04781261086463928,0.8970440030097961,0.2,-5.258295406401158,0.4485260248184204,90,0.008607962,0.079296875,0.09548013739986345
58.166666666666664,187,22528,-112.11465650000002,120,11,-0.012908028060337529,0.0003,0.08850184082984924,0.8880544900894165,0.2,-5.2189814612269405,0.30599838495254517,100,0.009996429,0.119580078125,0.12800925171468408
58.166666666666664,189,24576,-112.11465650000002,129,12,-0.010734709398820996,0.0003,0.05463455617427826,0.8785085678100586,0.2,-5.175183515250683,0.44390732049942017,110,0.007698536,0.09521484375,0.1245778756448999
2863.1111111111113,189,26624,-252.83515866666664,140,13,-0.013816844670509454,0.0003,0.06268597394227982,0.8732094168663025,0.2,-5.142396864295006,0.44819319248199463,120,0.011300353,0.1353515625,0.1522484930464998
2863.1111111111113,189,28672,-252.83515866666664,151,14,-0.003837083245161921,0.0003,75.9546890258789,0.8736869096755981,0.2,-5.132623575627804,-0.08851706981658936,130,0.003690586,0.00751953125,63.659421145543455
2863.1111111111113,190,30720,-252.83515866666664,161,15,-0.01218557144748047,0.0003,0.17424127459526062,0.858951210975647,0.2,-5.099589759111405,0.0013596415519714355,140,0.0107460525,0.114404296875,0.44501153309829533
2913.2727272727275,189,32768,-245.72078909090908,172,16,-0.008156630286248402,0.0003,0.16495023667812347,0.8582701683044434,0.2,-5.066313289105892,0.4746658205986023,150,0.008438323,0.075048828125,0.3431245081592351
2913.2727272727275,189,34816,-245.72078909090908,183,17,-0.004433421598514542,0.0003,31.48497200012207,0.8565806150436401,0.2,-5.0594327107071875,0.18553727865219116,160,0.004989546,0.012841796875,61.35256486497819
2913.2727272727275,189,36864,-245.72078909090908,194,18,-0.008951302728382871,0.0003,0.1713787019252777,0.855993926525116,0.2,-5.055964115262031,0.10195386409759521,170,0.009556235,0.105078125,0.675789252994582
2913.2727272727275,189,38912,-245.72078909090908,205,19,-0.010855004328186623,0.0003,0.04285591095685959,0.8597810864448547,0.2,-5.0649813413619995,0.3008536100387573,180,0.011178589,0.138037109375,0.18289832756854593
3360.25,188,40960,-242.21157958333333,216,20,-0.015371418744325637,0.0003,0.08194749057292938,0.8416187763214111,0.2,-5.020426188409329,0.5987199544906616,190,0.011538364,0.139990234375,0.1547422223491594
3360.25,189,43008,-242.21157958333333,227,21,-0.013536985918472055,0.0003,0.09521622955799103,0.8368585109710693,0.2,-4.97211602628231,0.46372729539871216,200,0.011913576,0.13798828125,0.26509401879739014
3360.25,189,45056,-242.21157958333333,238,22,-0.011913157399976625,0.0003,0.11956855654716492,0.8363093733787537,0.2,-4.961953049898147,0.6562211513519287,210,0.012047305,0.112841796875,0.23103914251551033
3360.25,189,47104,-242.21157958333333,249,23,-0.0129717469913885,0.0003,0.08756717294454575,0.8374441862106323,0.2,-4.965113157033921,0.6373176574707031,220,0.012115875,0.1259765625,0.2831804185174406
3639.3846153846152,188,49152,-232.591381,260,24,-0.012412028189282864,0.0003,0.19393140077590942,0.8309298157691956,0.2,-4.948376381397248,0.742127001285553,230,0.008720219,0.109765625,0.27225429769605397
3639.3846153846152,188,51200,-232.591381,271,25,-0.014864649904484394,0.0003,0.0817846804857254,0.8269966840744019,0.2,-4.922986388206482,0.705855667591095,240,0.012990061,0.1302734375,0.293602215917781
3768.5714285714284,188,53248,-216.94339800000003,281,26,-0.015562981649418361,0.0003,0.12399789690971375,0.8184636831283569,0.2,-4.889986371994018,0.7437238693237305,250,0.01109552,0.12861328125,0.2988578715827316
