rollout/ep_len_mean,time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/clip_fraction,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/clip_range,train/learning_rate,train/loss,train/explained_variance,train/approx_kl
438.01,32,65536,452,-63.711382459999996,144,0.06064453125,310,-1.1943167202174663,-0.006894747659680433,63.39589433073998,0.2,0.0003,105.0133285522461,0.7904362678527832,0.009868394
452.09,33,67584,469,-59.22691411000001,143,0.0291015625,320,-1.0369340220466257,-0.0029626142175402494,156.7959508061409,0.2,0.0003,102.58451080322266,0.7131145000457764,0.0041967696
465.67,34,69632,487,-57.442940549999996,142,0.06845703125,330,-0.9879172699525952,-0.005854054889641702,94.10851312875748,0.2,0.0003,15.02188777923584,0.7905559539794922,0.007477661
476.3,35,71680,504,-50.69064038,142,0.088525390625,340,-0.8854815499857068,-0.006505561455560383,17.857670140266418,0.2,0.0003,3.46132493019104,0.9481581449508667,0.007773001
491.62,36,73728,522,-47.42462240999999,141,0.12314453125,350,-1.1584715574979783,-0.00863288301625289,80.32079381048679,0.2,0.0003,67.62179565429688,0.752704918384552,0.009574993
507.8,37,75776,540,-43.07162017,140,0.1521484375,360,-1.1344329990446567,-0.010334494747803546,14.599373725056648,0.2,0.0003,3.5542168617248535,0.9516829252243042,0.011354584
509.02,38,77824,558,-37.65976799,139,0.0791015625,370,-0.8055244609713554,-0.006349892489379272,14.041461127251386,0.2,0.0003,6.627709865570068,0.957602858543396,0.0088743055
505.18,39,79872,575,-26.570497249999995,138,0.02666015625,380,-0.9675538230687379,-0.004424772781203501,191.15753920078276,0.2,0.0003,108.32492065429688,0.6904288530349731,0.0057866275
517.0,40,81920,591,-19.96357721,138,0.0625,390,-0.9563420185819268,-0.0056975790343130935,97.39407559335231,0.2,0.0003,91.99409484863281,0.8829925060272217,0.008557886
532.66,41,83968,606,-15.468137799999997,138,0.08212890625,400,-1.1041660122573376,-0.0037769581889733673,48.82965556383133,0.2,0.0003,27.91780662536621,0.9150516390800476,0.010466899
546.1,42,86016,622,-10.292544039999997,138,0.14638671875,410,-1.0300708025693894,-0.01176268398266984,10.186399093270301,0.2,0.0003,3.234696865081787,0.9603285193443298,0.018114686
552.7,43,88064,638,-6.98281762,137,0.04404296875,420,-0.7513231402263045,-0.003944894899905194,9.756930695846677,0.2,0.0003,2.8206772804260254,0.9503315687179565,0.005501746
563.91,44,90112,653,-0.9167239900000016,137,0.089599609375,430,-1.006622090563178,-0.005222426433465444,24.30480127632618,0.2,0.0003,2.788248062133789,0.9421674609184265,0.010397436
579.32,45,92160,669,3.0598992799999998,137,0.062841796875,440,-0.9599329071119428,-0.00417573716113111,92.04765512943268,0.2,0.0003,61.88433074951172,0.804774284362793,0.007856717
576.04,46,94208,686,4.563925899999998,137,0.160498046875,450,-1.0091392874717713,-0.006898863278911449,34.17127043604851,0.2,0.0003,4.826731204986572,0.8864259123802185,0.012164082
585.63,47,96256,704,8.02746014,136,0.049560546875,460,-0.9981644367799163,-0.008165251089667435,35.95248514264822,0.2,0.0003,49.83740997314453,0.8358154296875,0.0060089007
591.79,48,98304,721,12.610743070000003,136,0.0498046875,470,-0.961947681941092,-0.005686437898839358,25.928807228058577,0.2,0.0003,1.0916811227798462,0.8529669046401978,0.0043503502
605.54,49,100352,737,20.917566790000002,135,0.082080078125,480,-1.0471492551267148,-0.007868175351177342,11.015014539659024,0.2,0.0003,10.733490943908691,0.9556294679641724,0.010283608
608.94,50,102400,754,24.706001990000004,135,0.085498046875,490,-0.9979427821934224,-0.004868164917570539,58.817043566703795,0.2,0.0003,7.218074321746826,0.8489891886711121,0.011395044
611.69,51,104448,771,28.516827149999997,135,0.064892578125,500,-0.8531841564923525,-0.005747196552692913,54.190915648639205,0.2,0.0003,11.742352485656738,0.789550244808197,0.008368705
603.39,52,106496,787,30.90567065,135,0.05546875,510,-0.9391478085890412,-0.006067679772968404,3.735830762796104,0.2,0.0003,1.3335016965866089,0.9860048294067383,0.005483408
603.39,53,108544,803,31.951563729999997,135,0.0470703125,520,-0.8307687504217028,-0.0029458214121405035,68.75288801342249,0.2,0.0003,37.916446685791016,0.6779061555862427,0.006013069
611.24,54,110592,819,35.874445130000005,134,0.0814453125,530,-0.7965422838926315,-0.00573948496603407,5.833868017420173,0.2,0.0003,1.1718480587005615,0.9539989829063416,0.013278965
613.28,55,112640,834,36.76098514999999,134,0.079052734375,540,-0.7596014464274049,-0.0068281637330073865,5.739486562088132,0.2,0.0003,4.637634754180908,0.9727139472961426,0.007206657
632.62,56,114688,851,42.40382686,134,0.108984375,550,-0.9680261489003896,-0.004343987785978243,12.243254221230746,0.2,0.0003,3.36184024810791,0.9319299459457397,0.009317868
636.24,57,116736,867,46.367842399999994,134,0.1337890625,560,-0.8389016112312675,-0.005279909062664956,4.095323781110347,0.2,0.0003,1.796729326248169,0.9644537568092346,0.012612578
644.0,58,118784,882,52.081229210000004,134,0.095703125,570,-0.72163469735533,-0.005361357801302802,46.13644687086344,0.2,0.0003,10.145545959472656,0.8628392219543457,0.0059444658
657.27,59,120832,897,57.69225114000001,134,0.0052734375,580,-0.7904369674623013,-0.0013273303498863242,114.08110276460647,0.2,0.0003,44.33007049560547,0.7098827362060547,0.0041918233
670.77,60,122880,912,65.20874493,134,0.0994140625,590,-0.8316104361787439,-0.004894996646908112,33.792321847006676,0.2,0.0003,25.972389221191406,0.9193800091743469,0.007949684
668.83,61,124928,927,73.0738502,134,0.054638671875,600,-0.9128809053450823,-0.0043106584605993705,61.490386018157004,0.2,0.0003,9.86596393585205,0.7618246078491211,0.0092054345
673.94,62,126976,941,81.12192547,134,0.051416015625,610,-0.8907519727945328,-0.0038710616499884054,89.04165132939815,0.2,0.0003,13.906769752502441,0.7065348029136658,0.009903237
674.69,63,129024,955,88.99826814,135,0.0419921875,620,-0.7821139505133032,-0.0025818704656558112,68.34855215251446,0.2,0.0003,52.77718734741211,0.718329906463623,0.0047199824
680.78,64,131072,969,92.40699946999999,135,0.021484375,630,-0.8541405817493797,-0.0017348643799778075,70.49677521884442,0.2,0.0003,17.8955020904541,0.6005890369415283,0.0044283606
685.1,65,133120,984,99.50733243999998,135,0.055712890625,640,-0.9821622088551522,-0.0025541356299072504,120.23542859852314,0.2,0.0003,36.11283874511719,0.5242958664894104,0.005148084
688.95,66,135168,1000,99.13970854000002,135,0.062744140625,650,-0.9384082946926355,-0.0017104022088460624,65.50054778158665,0.2,0.0003,39.34248733520508,0.7964940667152405,0.006179648
667.46,67,137216,1015,100.83022066999997,135,0.0505859375,660,-1.0315390611067414,-0.0032547758135478945,62.456671530008315,0.2,0.0003,12.605708122253418,0.7493186593055725,0.0036092736
682.72,68,139264,1030,103.54973840999999,135,0.1017578125,670,-0.9589518498629331,-0.00406270167150069,94.29268979132175,0.2,0.0003,31.208660125732422,0.7426300644874573,0.011297382
664.75,69,141312,1044,103.80984043000001,135,0.08720703125,680,-0.998757161013782,-0.003930329329159576,13.869640961289406,0.2,0.0003,4.9047346115112305,0.9359429478645325,0.006885195
656.25,70,143360,1057,109.00806220999999,135,0.056982421875,690,-0.7274812696501612,-0.005880609882296994,77.32672711610795,0.2,0.0003,31.436433792114258,0.6704923510551453,0.008712221
673.14,71,145408,1071,112.37116023,135,0.073681640625,700,-1.0773911165073513,-0.005825933882442768,91.61118288338184,0.2,0.0003,50.06623458862305,0.7905791997909546,0.008327801
675.72,72,147456,1085,115.64523541,135,0.05751953125,710,-0.6055060125887394,-0.0037070915059302934,27.971433790028094,0.2,0.0003,4.7430243492126465,0.6883752346038818,0.004347155
669.88,73,149504,1099,123.84464414999998,135,0.0306640625,720,-0.8743666308000684,-0.0025430830239201894,80.85409875661135,0.2,0.0003,33.9212760925293,0.8180201649665833,0.006820854
637.55,74,151552,1113,127.11343104999997,136,0.042626953125,730,-0.9381030816584826,-0.0025455921713728458,51.57822495698929,0.2,0.0003,27.754735946655273,0.7984657883644104,0.006552155
641.32,75,153600,1127,130.99263767,136,0.0697265625,740,-0.9380655251443386,-0.004682375730772037,140.92534977197647,0.2,0.0003,112.36688232421875,0.6281963586807251,0.009932093
632.65,76,155648,1141,134.86494142,136,0.043798828125,750,-0.7801050359383226,-0.002832707986817695,52.484306316077706,0.2,0.0003,7.32063102722168,0.6389088034629822,0.004227921
623.46,77,157696,1156,136.68158468,136,0.051513671875,760,-0.7723736556246876,-0.003233518806518987,81.1833318144083,0.2,0.0003,62.24647521972656,0.7487905025482178,0.005348991
601.74,78,159744,1170,138.39990325,136,0.05078125,770,-0.8937559058889747,-0.004567076040257234,32.28813934773207,0.2,0.0003,19.068952560424805,0.855634331703186,0.0055672694
594.44,79,161792,1184,140.52940224000002,136,0.047998046875,780,-0.8884503291919827,-0.006105601190938614,109.58740595877171,0.2,0.0003,29.542322158813477,0.8142653107643127,0.006670275
580.03,80,163840,1197,145.37382308999997,136,0.026220703125,790,-0.8569102395325899,-0.0014521905468427576,148.3940438359976,0.2,0.0003,95.27933502197266,0.4327737092971802,0.005184632
570.23,81,165888,1211,144.79617379999996,136,0.061962890625,800,-0.8172915732488036,-0.0038529340119566767,63.544242183864114,0.2,0.0003,4.57836389541626,0.613222599029541,0.0065165637
538.31,82,167936,1225,143.43970379,137,0.05,810,-0.7876270491629839,-0.0011146578981424682,84.43117548376321,0.2,0.0003,27.46047592163086,0.633356511592865,0.007516687
522.47,83,169984,1239,143.30470216,137,0.02275390625,820,-0.8679328007623553,-0.001852325840809499,128.8256057828665,0.2,0.0003,20.241928100585938,0.7819343209266663,0.0044822036
528.25,84,172032,1252,143.42188918,137,0.06455078125,830,-0.7426489921286702,-0.00628482750908006,107.0498272150755,0.2,0.0003,80.11203002929688,0.7055395841598511,0.008790602
520.91,85,174080,1265,137.35451392,137,0.094140625,840,-0.6603172197937965,-0.0032340693025616927,36.0704202927649,0.2,0.0003,47.35220718383789,0.8814968466758728,0.012192788
511.39,86,176128,1279,135.93960184000002,137,0.092919921875,850,-0.8740937370806933,-0.004421082774933893,94.43381622582675,0.2,0.0003,107.32803344726562,0.752643346786499,0.0073307925
512.96,87,178176,1293,135.18876772,137,0.049169921875,860,-0.8268991174176336,-0.004443845756031806,72.06715469658374,0.2,0.0003,25.951745986938477,0.8725616931915283,0.007169018
504.76,88,180224,1307,131.02118102999998,137,0.070947265625,870,-0.9457189690321683,-0.002944503909384366,21.69428031221032,0.2,0.0003,3.1196300983428955,0.9422980546951294,0.008182776
505.91,89,182272,1320,135.61197902,137,0.038134765625,880,-0.881031789444387,-0.0023719180171610788,244.78296194076538,0.2,0.0003,61.2911376953125,0.6868517398834229,0.003924761
493.59,90,184320,1334,133.48207594000002,138,0.043994140625,890,-1.0073170201852917,-0.001991720253136009,84.6460564672947,0.2,0.0003,11.387593269348145,0.7670129537582397,0.008261504
495.45,91,186368,1348,136.58848361000003,138,0.0923828125,900,-0.7631254687905311,-0.00293909223692026,145.87626399099827,0.2,0.0003,97.70826721191406,0.6586775183677673,0.008248968
488.55,92,188416,1362,138.19178866000001,138,0.048876953125,910,-0.7160763558000326,-0.0033198132645338775,68.68192778229714,0.2,0.0003,5.692281246185303,0.798980176448822,0.005919748
479.19,93,190464,1376,139.46241232000003,138,0.07900390625,920,-0.8357583669945597,-0.003277090209303424,48.55107973068952,0.2,0.0003,49.486228942871094,0.9219838380813599,0.007550282
486.02,94,192512,1394,147.35801724,138,0.0552734375,930,-0.7384196987375617,-0.0030267480062320827,79.07281351685523,0.2,0.0003,34.17133712768555,0.8711061477661133,0.005391857
479.05,95,194560,1409,149.09566836000002,138,0.04580078125,940,-0.6883194232359529,-0.002241375355515629,68.52870801240206,0.2,0.0003,15.732844352722168,0.8842421174049377,0.007301226
467.89,96,196608,1422,141.66028085000002,138,0.061962890625,950,-0.8097818601876497,-0.0034651862573809923,79.27804312705993,0.2,0.0003,8.588488578796387,0.8805937170982361,0.007437925
473.75,97,198656,1435,143.07894266000002,138,0.03671875,960,-0.762241299264133,-0.0038525884068803863,192.6510649383068,0.2,0.0003,91.10940551757812,0.7375510334968567,0.0038641628
458.06,98,200704,1450,145.74799997999997,138,0.03603515625,970,-0.5141285419464111,-0.0021633619908243418,27.674830684065817,0.2,0.0003,10.493295669555664,0.9117757678031921,0.0046723047
467.12,99,202752,1464,144.83964086999998,138,0.07626953125,980,-0.8674734316766262,-0.0049532276840182025,56.447034147381785,0.2,0.0003,46.96126937866211,0.8140942454338074,0.0059575564
463.35,100,204800,1477,147.99774173000003,138,0.060693359375,990,-0.7756188001483679,-0.0027371440970455295,98.66999963223934,0.2,0.0003,109.99662780761719,0.7277657985687256,0.007538328
467.74,101,206848,1490,146.99522111,138,0.101416015625,1000,-0.9225907163694501,-0.005980174425349105,54.969531539082524,0.2,0.0003,8.184381484985352,0.8334343433380127,0.012828553
463.73,102,208896,1505,147.53486525,138,0.036181640625,1010,-0.7198443617671728,-0.0021151518434635364,182.8877358943224,0.2,0.0003,113.96843719482422,0.6363728046417236,0.005225225
453.66,103,210944,1518,151.59523467999998,138,0.08232421875,1020,-0.9205399107187986,-0.003427248849766329,75.35723813176155,0.2,0.0003,14.309473991394043,0.877439558506012,0.007448941
461.12,104,212992,1532,153.17155504,138,0.096923828125,1030,-0.7655081575736403,-0.0011003955791238696,35.05409305691719,0.2,0.0003,3.9445061683654785,0.8687322735786438,0.008823053
454.78,105,215040,1546,156.89429477,139,0.055322265625,1040,-0.5082032904960215,-0.0010893950413446874,16.80498559474945,0.2,0.0003,3.2262063026428223,0.8754726648330688,0.0048920047
444.86,106,217088,1559,156.69105806,139,0.041552734375,1050,-0.8547318747267127,-0.00037872344692004847,76.56399538516999,0.2,0.0003,21.559659957885742,0.7623052597045898,0.0049185734
438.32,107,219136,1572,160.77858301999999,139,0.078125,1060,-1.014925836585462,-0.003539374544925522,132.66205472052098,0.2,0.0003,26.658611297607422,0.8016822338104248,0.0096283415
435.48,108,221184,1585,158.15418641000002,139,0.033642578125,1070,-0.6518825760111213,-0.0033760426347726026,123.21300032734871,0.2,0.0003,34.311126708984375,0.48968058824539185,0.006005585
445.53,109,223232,1598,154.84642055999998,139,0.018798828125,1080,-0.612398077826947,-0.0036840744796791114,115.68148352503776,0.2,0.0003,14.525812149047852,0.7738497257232666,0.0045035183
450.56,110,225280,1611,156.52631026999998,139,0.046240234375,1090,-0.5914608671329915,-0.0009565123240463435,66.33335321694612,0.2,0.0003,4.784723281860352,0.8356871008872986,0.005837663
445.11,111,227328,1624,153.64225377,139,0.057080078125,1100,-0.6603539986535907,-0.0011738669563783333,16.338403522968292,0.2,0.0003,6.336869716644287,0.9119203686714172,0.00923244
441.14,112,229376,1637,157.43352157,140,0.062744140625,1110,-0.760318536683917,-0.00212536808103323,73.89996892511844,0.2,0.0003,64.0907974243164,0.8832363486289978,0.006252357
436.53,113,231424,1650,157.58320959,140,0.03603515625,1120,-0.6600691499188542,-0.0002940279140602797,77.45878580808639,0.2,0.0003,10.125356674194336,0.8315393924713135,0.0071817953
433.72,114,233472,1663,150.47760715,140,0.04794921875,1130,-0.7062362788245082,-0.0023494117864174767,121.82709268927574,0.2,0.0003,83.05047607421875,0.8116813898086548,0.0055178907
432.15,115,235520,1675,148.06304151,140,0.030615234375,1140,-0.5989282486960292,-0.0030765879680984655,147.24581636190413,0.2,0.0003,18.905595779418945,0.8554869294166565,0.0045117554
435.53,116,237568,1689,147.40773655,140,0.043798828125,1150,-0.6171223527751863,-0.002888841723324731,56.73556663393974,0.2,0.0003,15.944430351257324,0.8873843550682068,0.005403554
442.17,117,239616,1701,146.71129036000002,140,0.147998046875,1160,-0.7752685990184546,-0.0028987710451474414,18.73460872322321,0.2,0.0003,4.411419868469238,0.9547133445739746,0.012868041
451.93,118,241664,1714,147.72220419,140,0.036328125,1170,-0.7867177709937095,-0.0016403310291934758,76.59461975246668,0.2,0.0003,18.56446647644043,0.8089606761932373,0.0055522933
440.22,119,243712,1727,149.52781113999998,141,0.03818359375,1180,-0.5565331450663507,-0.0010373941404395737,45.02423966899514,0.2,0.0003,7.959023952484131,0.8566560745239258,0.004918997
439.86,120,245760,1740,151.50011362,141,0.03671875,1190,-0.7573488779366017,-0.00223823944106698,171.1330197572708,0.2,0.0003,64.14767456054688,0.8217900991439819,0.0034268731
440.08,121,247808,1754,151.52230276,141,0.04150390625,1200,-0.5941280864179135,-0.0029216756171081214,95.18927149176598,0.2,0.0003,21.517236709594727,0.7467117309570312,0.0037107794
432.91,122,249856,1767,150.66954465,141,0.02216796875,1210,-0.470659429486841,-0.0017268548428546638,61.72577230930328,0.2,0.0003,16.285932540893555,0.8640643358230591,0.0031817798
436.67,123,251904,1780,152.27225572,141,0.051953125,1220,-0.6913696449249983,-0.0029284092524903826,161.23584535121918,0.2,0.0003,71.52616882324219,0.7644965648651123,0.006536749
444.22,124,253952,1793,143.51366609999997,141,0.0626953125,1230,-0.49312841771170496,-0.004007736328640021,54.52313014268875,0.2,0.0003,25.638900756835938,0.877001941204071,0.007863911
435.57,125,256000,1807,140.07604633,141,0.124169921875,1240,-0.7606073627248406,-0.0028717512752336914,136.11018247902393,0.2,0.0003,107.75949096679688,0.7990586757659912,0.007890956
438.73,126,258048,1820,139.46957671,141,0.058642578125,1250,-0.6273490428924561,-0.00404540506133344,101.73811557590962,0.2,0.0003,112.48622131347656,0.8267462849617004,0.0049936874
437.78,127,260096,1833,137.05022165,141,0.04375,1260,-0.5146551804617048,-0.004381063295295462,156.32349034547806,0.2,0.0003,107.64476776123047,0.7295752763748169,0.00785179
446.83,128,262144,1847,138.04825262999998,141,0.12314453125,1270,-0.7529773060232401,-0.004308504707296379,64.9436890900135,0.2,0.0003,12.94577407836914,0.9084718823432922,0.011259548
456.14,129,264192,1860,141.15753623,141,0.083837890625,1280,-0.634616260882467,-0.0023477228547562844,24.040288066864015,0.2,0.0003,6.293712615966797,0.9233574867248535,0.009640045
454.7,130,266240,1874,138.59335241,142,0.062744140625,1290,-0.6501923233270646,-0.0009842688188655302,32.67066587209702,0.2,0.0003,10.472024917602539,0.8804985880851746,0.007451345
450.47,131,268288,1888,140.64387288,142,0.054345703125,1300,-0.710235564224422,-0.002247814963629935,87.6046148493886,0.2,0.0003,25.9053897857666,0.7996438145637512,0.0051493663
442.36,132,270336,1906,138.4061766,141,0.11220703125,1310,-0.7582869462668895,-0.003912170900730416,75.66622651815415,0.2,0.0003,21.834321975708008,0.8629192113876343,0.008271564
444.19,133,272384,1922,141.63750285,141,0.054638671875,1320,-0.7003610171377659,-0.003916482924250886,73.0237649038434,0.2,0.0003,5.026288032531738,0.7938655614852905,0.005106787
449.52,134,274432,1936,140.88554919,141,0.07978515625,1330,-0.6924413857981563,-0.0016467182911583222,67.97058539390564,0.2,0.0003,6.825143814086914,0.7724112272262573,0.009692703
463.55,135,276480,1951,138.32918850000001,141,0.0576171875,1340,-0.5825093723833561,0.000368903114576824,29.471040482074024,0.2,0.0003,9.604972839355469,0.8128483295440674,0.005270389
471.39,136,278528,1964,139.26320958,141,0.064013671875,1350,-0.5639625787734985,-0.0025667534035164865,31.101211399585008,0.2,0.0003,16.698225021362305,0.8214277029037476,0.0033346512
475.96,137,280576,1978,147.68985136,141,0.052685546875,1360,-0.6152990948408842,-0.005111816764110699,61.77697747051716,0.2,0.0003,34.56452941894531,0.8026260137557983,0.0146506615
489.97,138,282624,1992,147.38826436000002,141,0.043115234375,1370,-0.6934897266328335,-0.002867843632702716,61.80144610106945,0.2,0.0003,6.583933353424072,0.8521538972854614,0.005093958
494.04,139,284672,2007,149.44636793,141,0.213818359375,1380,-0.6315421062521637,-0.0036978833901230245,11.22886683512479,0.2,0.0003,3.1175365447998047,0.8267848491668701,0.024333416
484.2,140,286720,2021,152.78288342,141,0.01640625,1390,-0.5377748947590589,-0.00018251962319482118,41.19159782379866,0.2,0.0003,11.931670188903809,0.8674874901771545,0.0015628187
482.76,141,288768,2035,155.03730374,141,0.038427734375,1400,-0.6476055223494768,-0.002380655572051182,143.8018967449665,0.2,0.0003,138.19448852539062,0.6920357942581177,0.0042164205
481.3,142,290816,2049,152.57584588999998,141,0.023388671875,1410,-0.5955125038512051,-0.0004211782303173095,47.700779074430464,0.2,0.0003,10.88022232055664,0.8835738897323608,0.0023795525
492.11,143,292864,2064,149.65068261,141,0.033984375,1420,-0.696183342859149,-0.0027036199666326866,123.8083626255393,0.2,0.0003,125.85942077636719,0.7257519960403442,0.005212901
497.01,144,294912,2078,148.45078116,141,0.154736328125,1430,-0.7391759341582655,-0.002965242211939767,56.33010770715773,0.2,0.0003,2.370051383972168,0.8429059982299805,0.011361809
498.76,145,296960,2092,148.6966615,141,0.02548828125,1440,-0.7094494773074984,-0.0017166037316201255,59.402411088347435,0.2,0.0003,19.107345581054688,0.8829394578933716,0.0055798395
497.53,146,299008,2105,151.75276839000003,142,0.0421875,1450,-0.44952110294252634,-0.0037884374032728374,22.51819734312594,0.2,0.0003,5.743089199066162,0.8796539306640625,0.0023652946
504.71,147,301056,2118,148.25227929000002,142,0.0845703125,1460,-0.7938763486221433,-0.00402683621214237,111.3462189912796,0.2,0.0003,19.522600173950195,0.8327043056488037,0.011262418
514.1,148,303104,2131,146.38121216999997,142,0.046435546875,1470,-0.6419465286657214,-0.002787344124226365,75.33119905292988,0.2,0.0003,20.175674438476562,0.6210554838180542,0.0051955367
512.19,149,305152,2145,148.58322711,142,0.0896484375,1480,-0.5332243923097849,0.0012853685839218087,34.97149850651622,0.2,0.0003,2.261467456817627,0.85309898853302,0.0029786513
514.96,150,307200,2158,152.71292449,142,0.04912109375,1490,-0.6222031340934336,-0.0003374942680238746,79.28870119526982,0.2,0.0003,55.49416732788086,0.8472108840942383,0.0060846903
500.89,151,309248,2171,159.48351997999998,142,0.0490234375,1500,-0.7131882764399051,-0.0031132710282690823,142.06734083294867,0.2,0.0003,61.891483306884766,0.7506370544433594,0.0039579403
