rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/loss,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/clip_range,train/value_loss,train/approx_kl,train/clip_fraction,train/entropy_loss,train/learning_rate
-143.7404942857143,96.71428571428571,524,2048,1,3,,,,,,,,,,
-138.298417,93.65116279069767,424,4096,2,9,529.633056640625,0.002139866352081299,-0.008060323365498334,10,0.2,1090.5168926239014,0.0067056026,0.017041015625,-1.3833585940301418,0.0003
-150.02628921874998,95.390625,409,6144,3,15,825.6677856445312,-0.07413148880004883,-0.007218607707181945,20,0.2,1071.9376806259156,0.007308838,0.03359375,-1.3727048236876727,0.0003
-145.60091542168672,98.46987951807229,411,8192,4,19,438.0348815917969,-0.0037534236907958984,-0.006903376741684042,30,0.2,892.896134853363,0.009784056,0.06748046875,-1.3552282970398664,0.0003
-141.21947593,100.58,414,10240,5,24,276.90362548828125,-0.0025725364685058594,-0.009330860007321463,40,0.2,568.2026414871216,0.0068790084,0.05634765625,-1.3413580510765315,0.0003
-136.84105986999998,103.8,416,12288,6,29,305.8846740722656,-0.0019644498825073242,-0.005055117860320024,50,0.2,705.7360845565796,0.005008329,0.04140625,-1.325618751719594,0.0003
-140.8829913,108.68,417,14336,7,34,191.35186767578125,-7.677078247070312e-05,-0.003775164732360281,60,0.2,379.01661281585694,0.008263845,0.118896484375,-1.2864364445209504,0.0003
-131.33419247,111.42,416,16384,8,39,306.9326171875,-0.0012400150299072266,-0.004421324515715241,70,0.2,558.3854790687561,0.008657416,0.0515625,-1.275177316367626,0.0003
-130.57858338,117.59,418,18432,9,44,185.59225463867188,-0.009846091270446777,-0.004689817587495782,80,0.2,522.6877336025238,0.0071017477,0.02724609375,-1.2499182917177678,0.0003
-133.82354223000002,128.38,417,20480,10,49,468.1945495605469,-0.000675201416015625,-0.004440463178616483,90,0.2,440.7263393878937,0.0077464683,0.063525390625,-1.2457416653633118,0.0003
-123.51579667,131.04,412,22528,11,54,167.6920166015625,0.0013088583946228027,-0.004460777001804672,100,0.2,323.69007034301757,0.005046485,0.01328125,-1.2897670175880194,0.0003
-131.31936611999998,137.4,394,24576,12,62,343.87860107421875,0.04011368751525879,-0.005250525992596522,110,0.2,390.8655328273773,0.012783192,0.010302734375,-1.2203449565917253,0.0003
-129.31367255,145.5,382,26624,13,69,145.34361267089844,0.3728354573249817,-0.002887338360596914,120,0.2,293.74274666309356,0.0016121718,0.0,-1.1920485846698283,0.0003
-136.14293883,151.76,372,28672,14,76,177.77096557617188,-0.35051190853118896,-0.005899413842416834,130,0.2,343.72557148933413,0.012262108,0.02109375,-1.1482817012816668,0.0003
-136.43816147,159.01,362,30720,15,84,103.59906005859375,0.21037763357162476,-0.0018051372215268202,140,0.2,349.9785381317139,0.0045789136,0.00166015625,-1.1526235837489367,0.0003
-133.60382879,171.82,358,32768,16,91,239.79246520996094,0.04585379362106323,-0.006311684448155575,150,0.2,533.5539279937744,0.004120998,0.0259765625,-1.1596176330000163,0.0003
-139.57685447999998,180.05,354,34816,17,98,171.56570434570312,0.26612305641174316,-0.005215685066650622,160,0.2,281.74857153892515,0.00742926,0.023046875,-1.1668118074536324,0.0003
-139.80049373000003,193.04,348,36864,18,105,159.68479919433594,0.43486738204956055,-0.010013409925159067,170,0.2,372.64195070266726,0.00722719,0.0587890625,-1.114912885054946,0.0003
-137.92442803,204.27,344,38912,19,112,139.30357360839844,0.3600238561630249,-0.006737531931139529,180,0.2,238.72459864616394,0.0066709192,0.05234375,-1.1891241755336524,0.0003
-136.33072474,215.21,340,40960,20,120,86.91597747802734,0.3220762014389038,-0.008476969471666962,190,0.2,124.64923422336578,0.0075094188,0.076708984375,-1.1698871161788702,0.0003
-128.96299485999998,221.4,337,43008,21,127,19.035423278808594,0.14465415477752686,-0.004895240062614903,200,0.2,157.1396764099598,0.009750713,0.076123046875,-1.1093956656754016,0.0003
-130.84541320999998,235.8,331,45056,22,135,49.78130340576172,0.2701946496963501,-0.005621135943511035,210,0.2,197.59594917297363,0.0067683747,0.050341796875,-1.058802806586027,0.0003
-129.00751477,246.86,327,47104,23,143,77.63531494140625,0.0829538106918335,-0.0101975126483012,220,0.2,219.58324620723724,0.0074875713,0.067578125,-1.1450956903398037,0.0003
-127.44142231000002,257.71,324,49152,24,151,36.08760070800781,0.5104579329490662,-0.008640961267519742,230,0.2,119.74547622203826,0.00910576,0.06884765625,-1.0337841020897032,0.0003
-123.13969063,277.56,320,51200,25,159,438.9292907714844,0.3905377984046936,-0.004435535718221218,240,0.2,254.96163909435273,0.007472647,0.042236328125,-1.1192177683115005,0.0003
-116.34401139000003,289.59,317,53248,26,167,49.35154724121094,0.640163779258728,-0.009800866700243206,250,0.2,102.96784336566925,0.024451423,0.083642578125,-1.0973771229386329,0.0003
-114.63152833,304.14,315,55296,27,175,99.95252990722656,0.4310458302497864,-0.010137444498832337,260,0.2,168.2998665690422,0.007848578,0.0671875,-1.0656744249165058,0.0003
-115.74319785,316.59,312,57344,28,183,38.34480667114258,0.6641244888305664,-0.008701435386319645,270,0.2,79.54994498491287,0.012383127,0.111962890625,-1.0348656300455332,0.0003
-111.88898151000001,326.69,309,59392,29,191,40.087100982666016,0.6191340684890747,-0.004363687505247071,280,0.2,101.02983319759369,0.0058273533,0.064794921875,-1.1037029068917037,0.0003
-109.18902076999998,341.02,303,61440,30,202,93.22157287597656,0.6602402329444885,-0.007549357169773429,290,0.2,137.7403346657753,0.005768411,0.06044921875,-1.0300309684127569,0.0003
