rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/time_elapsed,train/clip_range,train/value_loss,train/loss,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/explained_variance,train/clip_fraction,train/approx_kl,train/n_updates
-342.150869,269,2048,168.54545454545453,1,7,,,,,,,,,,
-304.08245557142857,244,4096,189.38095238095238,2,16,0.2,1256.3614303588868,403.7383117675781,-0.009116372410790063,0.0003,-1.3775828953832387,0.0006884932518005371,0.113134765625,0.012636019,10
-283.1914632058823,238,6144,177.47058823529412,3,25,0.2,935.6087182044982,372.06634521484375,-0.004924807272618637,0.0003,-1.3740606021136046,0.03034108877182007,0.044873046875,0.006490537,20
-236.12643906250003,231,8192,165.4375,4,35,0.2,987.3216248512268,283.87945556640625,-0.007308082247618586,0.0003,-1.3556581906974317,-0.06883251667022705,0.070068359375,0.010911727,30
-229.85414683333335,211,10240,170.28333333333333,5,48,0.2,346.09139771461486,194.45753479003906,-0.00901325740123866,0.0003,-1.3540386129170656,0.010805368423461914,0.061279296875,0.007532754,40
-214.8094502361111,195,12288,166.13888888888889,6,62,0.2,600.3721257209778,265.84124755859375,-0.003382412616338115,0.0003,-1.3408607292920351,0.005142927169799805,0.00576171875,0.004479307,50
-200.612326164557,181,14336,178.55696202531647,7,78,0.2,509.87268142700196,312.37298583984375,-0.010521741128468421,0.0003,-1.328465063124895,0.013374388217926025,0.08916015625,0.007877072,60
-193.96030205813958,172,16384,188.98837209302326,8,94,0.2,327.1787621498108,148.53781127929688,-0.006420455536863301,0.0003,-1.3457050513476134,0.12504178285598755,0.023046875,0.0063440218,70
-183.6780211290323,165,18432,196.46236559139786,9,111,0.2,395.18867735862733,300.4432067871094,-0.007652535475790501,0.0003,-1.336655493825674,-0.0538792610168457,0.054443359375,0.008593442,80
-172.42159755999998,158,20480,202.51,10,129,0.2,470.00433721542356,186.6439971923828,-0.010765908277244307,0.0003,-1.3060245770961045,0.015263974666595459,0.068798828125,0.008229389,90
-145.13402231,153,22528,208.57,11,147,0.2,321.64530005455015,206.66073608398438,-0.01504338649683632,0.0003,-1.2818349964916707,0.0742720365524292,0.117236328125,0.011529133,100
-135.98625362,150,24576,211.55,12,163,0.2,215.30659623146056,109.95783996582031,-0.00988944825658109,0.0003,-1.3103829771280289,0.053182005882263184,0.07763671875,0.010916131,110
-128.55523346,142,26624,228.21,13,186,0.2,186.1702157974243,58.100982666015625,-0.0046621680143289265,0.0003,-1.2995613362640142,0.06141155958175659,0.04736328125,0.008324156,120
-115.70773391,137,28672,247.93,14,207,0.2,115.10547462701797,35.619415283203125,-0.009747745597269385,0.0003,-1.2656561579555272,0.3850730061531067,0.073486328125,0.009114796,130
-112.11093041999999,134,30720,264.85,15,229,0.2,173.47654707431792,42.14802169799805,-0.009156130265910178,0.0003,-1.282237768545747,0.38663530349731445,0.076611328125,0.011215152,140
-100.25759425,127,32768,272.11,16,256,0.2,65.57098639607429,16.733747482299805,-0.013787694997154177,0.0003,-1.2027864582836627,0.6838979721069336,0.080029296875,0.008534912,150
-88.55740973,123,34816,290.75,17,280,0.2,120.2183545589447,25.940608978271484,-0.006894274018122815,0.0003,-1.2298194710165262,0.6443734169006348,0.05556640625,0.010946823,160
-79.29760452999999,122,36864,307.98,18,301,0.2,121.92679279446602,18.850597381591797,-0.006035839437390678,0.0003,-1.1853988379240037,0.5999727249145508,0.051123046875,0.0060599493,170
-73.47021257,120,38912,325.75,19,322,0.2,71.66838029623031,11.37973690032959,-0.007401272232527845,0.0003,-1.0990062363445758,0.7766025066375732,0.0603515625,0.0074486863,180
-68.53654594000001,119,40960,341.93,20,342,0.2,30.148638658225536,18.617177963256836,-0.006170497694984079,0.0003,-1.1718811728060246,0.8975682258605957,0.027001953125,0.005871469,190
-64.13076858000001,118,43008,359.44,21,362,0.2,17.899858006834982,6.628428936004639,-0.009436972648836672,0.0003,-1.1790530744940042,0.9294707179069519,0.125244140625,0.0102768,200
-59.43906116,118,45056,378.19,22,380,0.2,10.550907169282436,4.781463146209717,-0.006392058028723113,0.0003,-0.9773046666756272,0.9549855589866638,0.0669921875,0.010551556,210
-54.221005049999995,118,47104,395.01,23,397,0.2,69.46656214296817,11.356897354125977,-0.004681811868795194,0.0003,-1.1183491688221694,0.8167807459831238,0.04853515625,0.005997421,220
-50.296904870000006,118,49152,412.96,24,414,0.2,21.211349274218083,13.47143268585205,-0.006763607132597826,0.0003,-0.9932375337928534,0.8597409725189209,0.06640625,0.008596402,230
-47.121074400000005,118,51200,417.91,25,432,0.2,14.529180927574634,8.448448181152344,-0.007061009286553599,0.0003,-1.1510435070842504,0.916428804397583,0.086328125,0.007313005,240
-41.70676052000001,118,53248,435.63,26,450,0.2,151.98733227550983,13.804158210754395,-0.005064027113257907,0.0003,-0.9612175641581416,0.42053794860839844,0.028955078125,0.004502075,250
-32.94730346,118,55296,454.12,27,468,0.2,10.395642918348312,5.107517242431641,-0.009531327715376393,0.0003,-1.1395692497491836,0.9231619834899902,0.10498046875,0.011261607,260
-24.203409100000002,118,57344,467.73,28,484,0.2,131.5487611055374,82.07659912109375,-0.003412079834379256,0.0003,-1.1028730019927024,0.5893425941467285,0.073876953125,0.005020019,270
-22.904312029999996,118,59392,476.54,29,501,0.2,119.25881320238113,51.401187896728516,-0.007139328462653793,0.0003,-1.1783836714923381,0.7019951939582825,0.116259765625,0.010568396,280
