time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/clip_range,train/loss,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/value_loss,train/entropy_loss,train/learning_rate,train/n_updates,train/std
328,6,1,387.4,2048,-112.15193760000002,,,,,,,,,,,
256,15,2,520.4285714285714,4096,-113.41104471428572,0.2,23.263856887817383,-0.014029979705810547,-0.006851756374817342,0.052099609375,0.0061618695,152.52653837502004,-5.676513643562794,0.0003,10,1.0000768899917603
228,26,3,534.7,6144,-112.3700094,0.2,0.540600597858429,0.03039926290512085,-0.008999915231834165,0.14541015625,0.0121005345,38.55233988817781,-5.670109489560128,0.0003,20,0.9994366765022278
208,39,4,585.0,8192,-110.22941341666667,0.2,32.898685455322266,0.25381481647491455,-0.008496363741869573,0.12822265625,0.010937041,61.853684708289805,-5.659436723589897,0.0003,30,0.9934408664703369
196,52,5,730.0,10240,-109.45151507142857,0.2,142.27383422851562,-0.0740516185760498,-0.003915134177077562,0.084423828125,0.01047794,30.967596726771443,-5.636548665165901,0.0003,40,0.987078070640564
190,64,6,788.0,12288,-108.2601394,0.2,0.13843955099582672,0.9503657817840576,-0.007223138905828819,0.08642578125,0.008876182,0.4992541065439582,-5.614532698690891,0.0003,50,0.9830466508865356
186,76,7,654.0952380952381,14336,-108.4618622857143,0.2,0.09528433531522751,-0.9965283870697021,-0.0107014681736473,0.10498046875,0.009723808,0.1888943457743153,-5.557524466514588,0.0003,60,0.9630382061004639
181,90,8,697.0909090909091,16384,-108.31808336363638,0.2,55.51637649536133,0.19016796350479126,-0.00372427974070888,0.0134765625,0.004389653,125.1152107335627,-5.519264435768127,0.0003,70,0.9620462656021118
179,102,9,736.3478260869565,18432,-107.70662895652175,0.2,0.22631683945655823,0.8890954256057739,-0.01085873908159556,0.100390625,0.010400057,0.5594876415096224,-5.525480008125305,0.0003,80,0.9666287899017334
175,116,10,805.44,20480,-106.40298944,0.2,0.032956380397081375,0.07648295164108276,-0.008968336854013614,0.0837890625,0.007920133,0.15814597771968691,-5.51189553886652,0.0003,90,0.9550106525421143
171,131,11,836.0,22528,-105.43861003846155,0.2,0.10804527997970581,0.058066368103027344,-0.013806491027935408,0.12294921875,0.008626904,0.17619783129775896,-5.439882531762123,0.0003,100,0.9338068962097168
169,145,12,864.2962962962963,24576,-104.7968685925926,0.2,0.044466421008110046,-0.0010188817977905273,-0.010803335403033998,0.104052734375,0.0112294275,0.08249581103445962,-5.3590362757444385,0.0003,110,0.9183411002159119
167,158,13,886.9333333333333,26624,-103.49159803333332,0.2,0.011138573288917542,-0.11601376533508301,-0.010360571398632602,0.09140625,0.0096245725,0.09409564218949526,-5.283136722445488,0.0003,120,0.8990645408630371
166,172,14,838.9411764705883,28672,-104.06117061764706,0.2,33.673973083496094,0.014482617378234863,-0.0022459766449173914,0.04140625,0.004678515,23.825184448901563,-5.248012414574623,0.0003,130,0.9017558693885803
165,185,15,860.6857142857143,30720,-103.40730660000001,0.2,17.040613174438477,0.4324556589126587,-0.005068266321904958,0.014306640625,0.004406389,66.58836577907205,-5.257294602692127,0.0003,140,0.902127206325531
164,199,16,881.2222222222222,32768,-102.96419922222223,0.2,0.004089523106813431,0.3986104130744934,-0.011002364878368098,0.11015625,0.0090559535,0.1763018202385865,-5.232415767014027,0.0003,150,0.8908147811889648
161,215,17,900.6486486486486,34816,-102.53527702702704,0.2,0.12220603227615356,0.6187681555747986,-0.009689198265550657,0.121923828125,0.010301057,0.2895831570844166,-5.197940419614315,0.0003,160,0.8863306045532227
158,232,18,936.5128205128206,36864,-101.88737258974359,0.2,0.013888735324144363,0.6052013635635376,-0.010702935882727615,0.09814453125,0.007825175,0.07624190374044701,-5.164222991466522,0.0003,170,0.8779769539833069
155,249,19,953.1,38912,-101.40972782499999,0.2,0.050524041056632996,0.8322740793228149,-0.010884361529315356,0.122021484375,0.009783495,0.170928470173385,-5.12591972053051,0.0003,180,0.8686572313308716
154,265,20,968.8780487804878,40960,-101.13614299999999,0.2,0.037751492112874985,0.9509505033493042,-0.010287754741148092,0.101220703125,0.009209136,0.10573752702912316,-5.079505948722362,0.0003,190,0.857115626335144
152,281,21,998.2325581395348,43008,-100.20581511627906,0.2,0.06102987378835678,0.4314441680908203,-0.010060313032590784,0.09560546875,0.007657856,0.07620550534920767,-5.04068503677845,0.0003,200,0.8518602848052979
150,299,22,991.2444444444444,45056,-99.8137140222222,0.2,0.02918330952525139,0.05952942371368408,-0.009849799978837837,0.0966796875,0.010740522,0.08706344779348,-5.003743772208691,0.0003,210,0.8405807018280029
149,314,23,1004.4782608695652,47104,-99.2257151521739,0.2,0.5365355014801025,0.16538351774215698,-0.003717987684649415,0.047607421875,0.006826631,18.3303048171103,-4.97357593625784,0.0003,220,0.8384098410606384
149,329,24,1017.1489361702128,49152,-98.66399861702126,0.2,0.01110127940773964,-1.9207782745361328,-0.007320674922084436,0.077783203125,0.008711532,0.11357783543644473,-4.93487301170826,0.0003,230,0.8247708082199097
148,345,25,1040.938775510204,51200,-97.81194671428571,0.2,0.00430932454764843,0.14794450998306274,-0.009276164762559347,0.100390625,0.009629729,0.06266296177636832,-4.875701600313187,0.0003,240,0.8147372007369995
147,360,26,1052.12,53248,-97.22171065999999,0.2,-4.043802618980408e-05,0.5355563163757324,-0.011817339342087507,0.103564453125,0.010377026,0.07708966714562848,-4.814710088074207,0.0003,250,0.8012261986732483
147,375,27,1062.862745098039,55296,-96.7456965098039,0.2,0.009876908734440804,0.394861102104187,-0.012349335485487245,0.123681640625,0.010476093,0.05568978794617578,-4.7446903243660925,0.0003,260,0.7886274456977844
146,392,28,1073.1923076923076,57344,-96.16364555769229,0.2,0.015524715185165405,0.5492749214172363,-0.009299397660652176,0.08251953125,0.009403004,0.062468397367047145,-4.6744074806571,0.0003,270,0.7725909948348999
144,411,29,1092.7037037037037,59392,-94.94123553703702,0.2,0.017952635884284973,0.540340781211853,-0.009453093881893438,0.094287109375,0.010067873,0.061008837504778056,-4.617521996796131,0.0003,280,0.7657985687255859
142,432,30,1101.9272727272728,61440,-94.26691545454543,0.2,0.032261837273836136,0.7004212141036987,-0.010493385107838548,0.103564453125,0.008420595,0.12914026041980833,-4.58297103792429,0.0003,290,0.759947657585144
140,452,31,1110.8214285714287,63488,-93.66449310714286,0.2,0.04060095548629761,0.609632134437561,-0.007934578999993391,0.11279296875,0.009324347,0.06736032103653997,-4.541651892662048,0.0003,300,0.7492411732673645
140,467,32,1127.6896551724137,65536,-92.18226122413793,0.2,0.010995101183652878,0.6834796667098999,-0.014547123765805737,0.1369140625,0.012127442,0.07194984861416742,-4.508148750662803,0.0003,310,0.747169017791748
