time/fps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/clip_fraction,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/approx_kl,train/loss,train/n_updates,train/explained_variance
565,1,94.9047619047619,-158.22546966666664,3,2048,,,,,,,,,,
433,2,94.3953488372093,-179.46853906976744,9,4096,0.0302734375,-1.379572506994009,0.2,-0.006491829233709723,1151.747564125061,0.0003,0.013171007,343.20159912109375,10,0.0029256343841552734
408,3,97.7741935483871,-171.782568,15,6144,0.00244140625,-1.363290311768651,0.2,-0.003201181854819879,1574.4263492584228,0.0003,0.004905694,614.6621704101562,20,-0.009735941886901855
388,4,108.98666666666666,-162.02064208000002,21,8192,0.072900390625,-1.3485817976295948,0.2,-0.009823583607794718,962.7642434120178,0.0003,0.009954975,336.3028564453125,30,-0.002980947494506836
371,5,108.12765957446808,-167.24134163829785,27,10240,0.062939453125,-1.353552382439375,0.2,-0.0077448139374610035,565.1352836132049,0.0003,0.007098797,318.7799377441406,40,0.04228484630584717
365,6,109.65,-158.002858,33,12288,0.051123046875,-1.3295976657420396,0.2,-0.007310462277382612,944.3433272361756,0.0003,0.0067382865,458.97100830078125,50,-0.09752166271209717
365,7,113.59,-146.80077732,39,14336,0.131689453125,-1.3020136125385762,0.2,-0.013397001021075994,467.3944180011749,0.0003,0.016206669,191.24038696289062,60,-0.0025376081466674805
365,8,114.89,-134.70730579000002,44,16384,0.16259765625,-1.2734879519790412,0.2,-0.010474513954250142,307.6751097679138,0.0003,0.011802284,155.1119842529297,70,-0.0003619194030761719
363,9,126.84,-127.91044703000001,50,18432,0.030810546875,-1.251566831767559,0.2,-0.003996511246077717,611.764280796051,0.0003,0.011578884,198.7032928466797,80,0.001055896282196045
363,10,132.81,-132.88684237,56,20480,0.009326171875,-1.2919024374336003,0.2,-0.004449765506433323,205.1348563671112,0.0003,0.0044272724,104.65941619873047,90,0.09728336334228516
360,11,131.99,-129.05932063999998,62,22528,0.07509765625,-1.2141087580472232,0.2,-0.008833299850812182,675.5862005710602,0.0003,0.007911521,274.2254638671875,100,-0.004578232765197754
357,12,139.77,-119.8773883,68,24576,0.0615234375,-1.1402833506464958,0.2,-0.005574972306203563,574.6613760948181,0.0003,0.009734916,185.51223754882812,110,-0.02016139030456543
355,13,148.7,-126.19696895999999,74,26624,0.118310546875,-1.0840651620179416,0.2,-0.008488798004691489,416.99522256851196,0.0003,0.012120112,177.47547912597656,120,0.0004207491874694824
353,14,163.03,-130.98856636,81,28672,0.05625,-1.1195679962635041,0.2,-0.0027551008097361773,569.6450304985046,0.0003,0.005416371,288.2101135253906,130,-0.0006242990493774414
351,15,169.77,-128.60109726999997,87,30720,0.05732421875,-1.1920301724225282,0.2,-0.008059598368708976,406.67537932395936,0.0003,0.0070241075,169.35791015625,140,0.0045052170753479
353,16,185.47,-129.61027357999998,92,32768,0.002734375,-1.1211933016777038,0.2,-0.002714268979616463,314.8948351621628,0.0003,0.00572026,135.5729217529297,150,-0.3257817029953003
357,17,201.03,-131.73785872000002,97,34816,0.051416015625,-1.1055941637605429,0.2,-0.004076053095923271,267.6717865228653,0.0003,0.00925287,156.34971618652344,160,0.036680638790130615
359,18,214.81,-129.95401005999997,102,36864,0.049609375,-1.1864725697785616,0.2,-0.00600392920896411,212.64328742027283,0.0003,0.0074128956,115.6396255493164,170,0.0386471152305603
360,19,232.69,-125.41754144999999,108,38912,0.009716796875,-1.1315186645835638,0.2,-0.003474650361749809,237.66975305080413,0.0003,0.004166527,58.80131149291992,180,0.19475609064102173
361,20,235.69,-134.27682603000002,113,40960,0.04375,-1.2531537409871816,0.2,-0.005368626842391677,98.07737717628478,0.0003,0.006383993,36.80343246459961,190,0.16600793600082397
362,21,244.95,-143.57307561999997,118,43008,0.079345703125,-1.0492949429899454,0.2,-0.008112383136176505,613.1841236114502,0.0003,0.009531893,394.1690368652344,200,0.019881904125213623
363,22,257.66,-141.47548458,123,45056,0.004296875,-1.0869851849973202,0.2,-0.0017699473537504673,498.9301296234131,0.0003,0.0047025457,206.49899291992188,210,0.054666757583618164
364,23,275.31,-138.44966428,129,47104,0.031201171875,-1.2345977276563644,0.2,-0.005278238488244824,124.68329210281372,0.0003,0.005395881,53.881019592285156,220,0.2543330788612366
364,24,286.8,-131.45085698,134,49152,0.017529296875,-1.1120217721909285,0.2,-0.005787946956115775,327.82528533935545,0.0003,0.008263357,73.84851837158203,230,-0.12222111225128174
365,25,299.02,-122.34743624,140,51200,0.0279296875,-1.119795171916485,0.2,-0.004648346765316091,287.95287466049194,0.0003,0.006917754,190.9656219482422,240,0.16286635398864746
366,26,314.93,-115.57698853999999,145,53248,0.07578125,-1.1370982076972722,0.2,-0.008512494229944424,116.32039660215378,0.0003,0.007151824,32.15402603149414,250,0.46800631284713745
